Word 1	Word 2	Count	perMillion
similar	to 	46330	215.139680703087
or	the 	45589	211.698746030068
would	have 	45457	211.085786007344
addition	to 	45410	210.867535090162
had	to 	45190	209.845935052288
side	of 	44846	208.248524083977
associated	with 	44806	208.062778622546
Although	the 	44386	206.112451277514
prior	to 	44339	205.894200360332
also	a 	44033	204.473247580381
result	of 	43861	203.674542096225
House	of 	43735	203.089443892716
known	for 	43684	202.852618429391
area	of 	43553	202.244302043202
group	of 	43508	202.035338399092
appeared	in 	43225	200.721189259464
age	of 	43211	200.656178347963
also	known 	42804	198.766218277897
his	father 	42736	198.450450993463
published	in 	42582	197.735330966952
for	their 	42110	195.543534522059
used	as 	41978	194.930574499335
son	of 	41915	194.638025397581
variety	of 	41822	194.206167199752
town	of 	41281	191.693959833891
history	of 	41253	191.563938010889
population	of 	40999	190.384454330798
development	of 	40954	190.175490686688
both	the 	40917	190.003676134864
released	in 	40838	189.636828848536
time	of 	40697	188.982076096990
name	of 	40639	188.712745177914
role	in 	40222	186.776348742490
used	by 	40043	185.945137802584
Los	Angeles 	39862	185.104639589607
home	to 	39771	184.682068664850
has	also 	39493	183.391137707901
should	be 	39315	182.564570404530
may	have 	39004	181.120399441900
rest	of 	38814	180.238108500100
years	of 	38806	180.200959407814
his	wife 	38725	179.824824848415
were	the 	38612	179.300093919871
not	be 	38492	178.742857535576
it	to 	38283	177.772337499596
they	had 	38059	176.732162915580
so	that 	37779	175.431944685559
also	the 	37772	175.399439229808
decided	to 	37768	175.380864683665
he	would 	37748	175.287991952949
from	his 	37662	174.888639210872
followed	by 	37495	174.113151909395
died	in 	37472	174.006348269072
north	of 	37139	172.460017302654
came	to 	36931	171.494140903210
on	their 	36833	171.039064522703
consists	of 	36708	170.458609955729
he	became 	36708	170.458609955729
the	United 	36403	169.042300812314
when	it 	36128	167.765300764972
his	death 	35989	167.119835286497
an	American 	35977	167.064111648068
but	it 	35856	166.502231627237
them	to 	35759	166.051798883266
must	be 	35710	165.824260693012
New	Zealand 	35564	165.146289758787
located	at 	35475	164.733006107102
first	time 	35380	164.291860636202
said	that 	35256	163.716049705764
named	after 	35239	163.637107884656
involved	in 	35189	163.404926057866
south	of 	35134	163.149526048398
instead	of 	34943	162.262591470062
up	the 	34826	161.719285995375
were	not 	34541	160.395849582675
list	of 	34529	160.340125944246
during	his 	34467	160.052220479027
majority	of 	34438	159.917555019489
responsible	for 	34408	159.778245923415
using	the 	34256	159.072413169975
joined	the 	34173	158.686991337505
its	own 	34094	158.320144051178
built	in 	34072	158.217984047390
but	was 	33984	157.809344032241
by	an 	33900	157.419278563235
they	have 	33740	156.676296717509
range	of 	33661	156.309449431181
not	to 	33627	156.151565788964
led	by 	33544	155.766143956494
because	the 	33234	154.326616630399
an	important 	33159	153.978343890215
lack	of 	33023	153.346809321348
no	longer 	32979	153.142489313773
off	the 	32790	152.264842008509
or	a 	32697	151.832983810681
type	of 	32655	151.637951076178
two	years 	32592	151.345401974423
she	is 	32583	151.303609245601
also	be 	32512	150.973911051560
founded	in 	32508	150.955336505417
been	a 	32426	150.574558309482
announced	that 	32291	149.947667377151
went	on 	32232	149.673692821539
replaced	by 	32212	149.580820090823
return	to 	32109	149.102525527637
amount	of 	32014	148.661380056737
after	his 	31816	147.741940022651
United	States 	31662	147.026819996140
less	than 	31653	146.985027267318
attempt	to 	31512	146.330274515771
could	not 	31455	146.065587233231
half	of 	31407	145.842692679514
made	a 	31293	145.313318114434
During	this 	31247	145.099710833787
Department	of 	31078	144.314936259239
it	would 	31072	144.287074440024
set	of 	31033	144.105972615129
stated	that 	30971	143.818067149910
who	were 	30842	143.219038036793
include	the 	30834	143.181888944507
years	later 	30821	143.121521669541
it	had 	30697	142.545710739104
resulted	in 	30484	141.556616156981
were	also 	30449	141.394088878228
are	a 	30392	141.129401595688
place	in 	30383	141.087608866866
related	to 	30238	140.414281569177
control	of 	30160	140.052077919385
time	in 	30137	139.945274279062
like	the 	30075	139.657368813843
head	of 	29956	139.104776066084
way	to 	29883	138.765790598972
period	of 	29737	138.087819664747
with	its 	29632	137.600237828489
It	also 	29340	136.244295960039
School	of 	29263	135.886735946783
such	a 	29194	135.566325025813
beginning	of 	29192	135.557037752742
said	to 	29181	135.505957750848
written	by 	29146	135.343430472096
same	time 	29121	135.227339558701
west	of 	29060	134.944077730018
not	only 	28698	133.263081304062
can	also 	28604	132.826579469698
each	other 	28578	132.705844919768
took	place 	28481	132.255412175796
terms	of 	28467	132.190401264295
produced	by 	28440	132.065023077829
than	a 	28347	131.633164880000
would	not 	28310	131.461350328176
had	the 	28283	131.335972141710
not	have 	28121	130.583703022912
east	of 	28108	130.523335747947
have	the 	27972	129.891801179080
has	the 	27906	129.585321167718
construction	of 	27885	129.487804800466
death	of 	27802	129.102382967996
not	a 	27795	129.069877512245
who	is 	27750	128.860913868135
refers	to 	27702	128.638019314417
types	of 	27638	128.340826576126
Civil	War 	27634	128.322252029983
held	in 	27559	127.973979289799
released	on 	27518	127.783590191832
up	in 	27508	127.737153826474
School	in 	27362	127.059182892249
fact	that 	27339	126.952379251925
close	to 	27295	126.748059244351
over	a 	27248	126.529808327169
